Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 63 read_counter=  0 | write_addr=126 read_addr=  0 | data_in=  126 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 64 read_counter=  0 | write_addr=  1 read_addr=  0 | data_in=    1 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 65 read_counter=  0 | write_addr= 65 read_addr=  0 | data_in=   65 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 66 read_counter=  0 | write_addr= 33 read_addr=  0 | data_in=   33 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 67 read_counter=  0 | write_addr= 97 read_addr=  0 | data_in=   97 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 68 read_counter=  0 | write_addr= 17 read_addr=  0 | data_in=   17 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 69 read_counter=  0 | write_addr= 81 read_addr=  0 | data_in=   81 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 70 read_counter=  0 | write_addr= 49 read_addr=  0 | data_in=   49 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 71 read_counter=  0 | write_addr=113 read_addr=  0 | data_in=  113 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 72 read_counter=  0 | write_addr=  9 read_addr=  0 | data_in=    9 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 73 read_counter=  0 | write_addr= 73 read_addr=  0 | data_in=   73 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 74 read_counter=  0 | write_addr= 41 read_addr=  0 | data_in=   41 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 75 read_counter=  0 | write_addr=105 read_addr=  0 | data_in=  105 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 76 read_counter=  0 | write_addr= 25 read_addr=  0 | data_in=   25 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 77 read_counter=  0 | write_addr= 89 read_addr=  0 | data_in=   89 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 78 read_counter=  0 | write_addr= 57 read_addr=  0 | data_in=   57 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 79 read_counter=  0 | write_addr=121 read_addr=  0 | data_in=  121 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 80 read_counter=  0 | write_addr=  5 read_addr=  0 | data_in=    5 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 81 read_counter=  0 | write_addr= 69 read_addr=  0 | data_in=   69 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 82 read_counter=  0 | write_addr= 37 read_addr=  0 | data_in=   37 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 83 read_counter=  0 | write_addr=101 read_addr=  0 | data_in=  101 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 84 read_counter=  0 | write_addr= 21 read_addr=  0 | data_in=   21 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 85 read_counter=  0 | write_addr= 85 read_addr=  0 | data_in=   85 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 86 read_counter=  0 | write_addr= 53 read_addr=  0 | data_in=   53 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 87 read_counter=  0 | write_addr=117 read_addr=  0 | data_in=  117 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 88 read_counter=  0 | write_addr= 13 read_addr=  0 | data_in=   13 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 89 read_counter=  0 | write_addr= 77 read_addr=  0 | data_in=   77 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 90 read_counter=  0 | write_addr= 45 read_addr=  0 | data_in=   45 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 91 read_counter=  0 | write_addr=109 read_addr=  0 | data_in=  109 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 92 read_counter=  0 | write_addr= 29 read_addr=  0 | data_in=   29 data_out=    x
Time=0 | wr_en=1 rd_en=0 | wr_bank=0 rd_bank=1 | write_counter= 93 read_counter=  0 | write_addr= 93 read_addr=  0 | data_in=   93 data_out=    x
